,Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Sk,Int.1,Year,Solo
5,6,QB,Philip Rivers,San Diego Chargers,2.0,4%,16,16,312,478,4009,34,11,31,84,0,0,0,0,0.0,0,2008,0.0
6,7,RB,Chris Johnson,Tennessee Titans,1.0,2%,15,14,0,0,0,0,0,251,1228,9,43,260,1,0.0,0,2008,0.0
7,8,QB,Kurt Warner,Arizona Cardinals,1.0,2%,16,16,401,598,4583,30,14,18,-2,0,0,0,0,0.0,0,2008,0.0
0,1,QB,Peyton Manning,Indianapolis Colts,39.5,79%,16,16,393,571,4500,33,16,19,-13,0,0,0,0,0.0,0,2009,0.0
1,2,QB,Drew Brees,New Orleans Saints,7.5,15%,15,15,363,514,4388,34,11,22,33,2,1,-4,0,0.0,0,2009,0.0
2,3,QB,Philip Rivers,San Diego Chargers,2.0,4%,16,16,317,486,4254,28,9,26,50,1,0,0,0,0.0,0,2009,0.0
3,4,QB,Brett Favre,Minnesota Vikings,1.0,2%,16,16,363,531,4202,33,7,9,7,0,1,-2,0,0.0,0,2009,0.0
0,1,QB,Tom Brady,New England Patriots,50.0,100%,16,16,324,492,3900,36,4,31,30,1,0,0,0,0.0,0,2010,0.0
0,1,QB,Aaron Rodgers,Green Bay Packers,48.0,96%,15,15,343,502,4643,45,6,60,257,3,0,0,0,0.0,0,2011,0.0
1,2,QB,Drew Brees,New Orleans Saints,2.0,4%,16,16,468,657,5476,46,14,21,86,1,0,0,0,0.0,0,2011,0.0
0,1,RB,Adrian Peterson,Minnesota Vikings,30.5,61%,16,16,0,0,0,0,0,348,2097,12,40,217,1,0.0,0,2012,0.0
1,2,QB,Peyton Manning,Denver Broncos,19.5,39%,16,16,400,583,4659,37,11,23,6,0,0,0,0,0.0,0,2012,0.0
0,1,QB,Peyton Manning,Denver Broncos,49.0,98%,16,16,450,659,5477,55,10,32,-31,1,0,0,0,0.0,0,2013,0.0
1,2,QB,Tom Brady,New England Patriots,1.0,2%,16,16,380,628,4343,25,11,32,18,0,0,0,0,0.0,0,2013,0.0
0,1,QB,Aaron Rodgers,Green Bay Packers,31.0,62%,16,16,341,520,4381,38,5,43,269,2,0,0,0,0.0,0,2014,0.0
1,2,LDE,J.J. Watt,Houston Texans,13.0,26%,16,16,0,0,0,0,0,0,0,0,3,4,3,20.5,1,2014,59.0
2,3,RB,DeMarco Murray,Dallas Cowboys,2.0,4%,16,16,0,0,0,0,0,392,1845,13,57,416,0,0.0,0,2014,0.0
3,4,QB,Tony Romo,Dallas Cowboys,2.0,4%,15,15,304,435,3705,34,9,26,61,0,0,0,0,0.0,0,2014,0.0
4,5,QB,Tom Brady,New England Patriots,1.0,2%,16,16,373,582,4109,33,9,36,57,0,0,0,0,0.0,0,2014,0.0
5,6,MLB,Bobby Wagner,Seattle Seahawks,1.0,2%,11,11,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2014,67.0
0,1,QB,Cam Newton,Carolina Panthers,48.0,96%,16,16,296,495,3837,35,10,132,636,10,0,0,0,0.0,0,2015,0.0
1,2,QB,Tom Brady,New England Patriots,1.0,2%,16,16,402,624,4770,36,7,34,53,3,1,36,0,0.0,0,2015,0.0
2,3,QB,Carson Palmer,Arizona Cardinals,1.0,2%,16,16,342,537,4671,35,11,25,24,1,0,0,0,0.0,0,2015,0.0
0,1,QB,Matt Ryan,Atlanta Falcons,25.0,50%,16,16,373,534,4944,38,7,35,117,0,0,0,0,0.0,0,2016,0.0
1,2,QB,Tom Brady,New England Patriots,10.0,20%,12,12,291,432,3554,28,2,28,64,0,0,0,0,0.0,0,2016,0.0
2,3,QB,Derek Carr,Oakland Raiders,6.0,12%,15,15,357,560,3937,28,6,39,70,0,0,0,0,0.0,0,2016,0.0
3,4,RB,Ezekiel Elliott,Dallas Cowboys,6.0,12%,15,15,0,0,0,0,0,322,1631,15,32,363,1,0.0,0,2016,0.0
4,5,QB,Aaron Rodgers,Green Bay Packers,2.0,4%,16,16,401,610,4428,40,7,67,369,4,0,0,0,0.0,0,2016,0.0
5,6,QB,Dak Prescott,Dallas Cowboys,1.0,2%,16,16,311,459,3667,23,4,57,282,6,0,0,0,0.0,0,2016,0.0
0,1,QB,Tom Brady,New England Patriots,40.0,80%,16,16,385,581,4577,32,8,25,28,0,0,0,0,0.0,0,2017,0.0
1,2,RB,Todd Gurley,Los Angeles Rams,8.0,16%,15,15,0,0,0,0,0,279,1305,13,64,788,6,0.0,0,2017,0.0
2,3,QB,Carson Wentz,Philadelphia Eagles,2.0,4%,13,13,265,440,3296,33,7,64,299,0,0,0,0,0.0,0,2017,0.0
0,1,QB,Patrick Mahomes,Kansas City Chiefs,41.0,82%,16,16,383,580,5097,50,12,60,272,2,0,0,0,0.0,0,2018,0.0
1,2,QB,Drew Brees,New Orleans Saints,9.0,18%,15,15,364,489,3992,32,5,31,22,4,1,1,0,0.0,0,2018,0.0
0,1,QB,Lamar Jackson,Baltimore Ravens,50.0,100%,15,15,265,401,3127,36,6,176,1206,7,0,0,0,0.0,0,2019,0.0
0,1,QB,Aaron Rodgers,Green Bay Packers,44.0,88%,16,16,372,526,4299,48,5,38,149,3,1,-6,0,0.0,0,2020,0.0
1,2,QB,Josh Allen,Buffalo Bills,4.0,8%,16,16,396,572,4544,37,10,102,421,8,1,12,1,0.0,0,2020,0.0
2,3,QB,Patrick Mahomes,Kansas City Chiefs,2.0,4%,15,15,390,588,4740,38,6,62,308,2,0,0,0,0.0,0,2020,0.0
0,1,QB,Aaron Rodgers,Green Bay Packers,39.0,78%,16,16,366,531,4115,37,4,33,101,3,1,-4,0,0.0,0,2021,0.0
1,2,QB,Tom Brady,Tampa Bay Buccaneers,10.0,20%,17,17,485,719,5316,43,12,28,81,2,0,0,0,0.0,0,2021,0.0
2,3,WR,Cooper Kupp,Los Angeles Rams,1.0,2%,17,17,0,1,0,0,0,4,18,0,145,1947,16,0.0,0,2021,1.0
